id,clee_denue2026,clee_maryhelen_mh2,nombre_denue2026,nombre_maryhelen_mh2,cambio_clee,cambio_nombre
10936397,21074624191000301000000000U5,21074624191000301000063105S5,CASTA DE GUERREROS,CASTA DE GUERREROS,True,False
10995395,21074434211000321000000000U9,21074434211000321000000000S9,VENTA DE BLOCK,VENTA DE BLOCK,True,False
11077131,21074621511000321000000000U5,21074621511000321000000000S5,JD JOR-DAN LABORATORIO DIAGNOSTICO CLINICO,JD JOR-DAN LABORATORIO DIAGNOSTICO CLINICO,True,False
11081907,21074812210000921000000000U0,21074812210000921000000000S0,BODEGA SIN NOMBRE,BODEGA SIN NOMBRE,True,False
11095940,21074311830002021000000000U8,21074311830002021000000000S8,BODEGA DE TORTILLERIA CASTILLO,BODEGA DE TORTILLERIA CASTILLO,True,False
11155463,21074315223000831000000000U6,21074315223000831000074539S6,BODEGA,BODEGA,True,False
11159673,21074722517000751000000000U8,21074722517000751000000000S8,PIZZAS VELAZCO,PIZZAS VELAZCO,True,False
11183668,21074812210000251000000000U2,21074812210000251000000000S2,BODEGA DE DESPERDICIO,BODEGA DE DESPERDICIO,True,False
11194736,21074811493000451000000000U1,21074811493000451000000000S1,BICICLETAS CORRECAMINOS BODEGA,BICICLETAS CORRECAMINOS BODEGA,True,False
11246164,21074461110009591000000000U8,21074461110009591000000000U8,"COMERCIO AL POR MENOR EN TIENDAS DE ABARROTES, ULTRAMARINOS Y MISCEL�NEAS SIN NOMBRE",BLANCA BERNARDO DIAZ,False,True
11272330,21074461110009061000000000U2,21074461110009061000000000U2,"COMERCIO AL POR MENOR EN TIENDAS DE ABARROTES, ULTRAMARINOS Y MISCEL�NEAS SIN NOMBRE",JOSEFA ORTIZ DE DOMINGUEZ,False,True
11441484,21074461190000581000000000U0,21074461190000581000000000S0,PASTELERIA DELI TUTTI,PASTELERIA DELI TUTTI,True,False
11444184,21074531210000061000000000U5,21074531210000061000000000S5,OFICINA DE DEPARTAMENTO DE OBRA,OFICINA DE DEPARTAMENTO DE OBRA,True,False
11654412,21074311830000901000000000U3,21074311830000901000000000S3,TORTILLERIA CASTILLO AUXILIAR,TORTILLERIA CASTILLO AUXILIAR,True,False
11683096,21074461110009241000000000U0,21074461110009241000000000U0,"COMERCIO AL POR MENOR EN TIENDAS DE ABARROTES, ULTRAMARINOS Y MISCEL�NEAS SIN NOMBRE",ESTHER MORALES HERNANDEZ,False,True
11807731,21074326192000035000000000U8,21074326192000035000000000S8,ISGO MANUFACTURING,ISGO MANUFACTURING,True,False
11821013,21074463111000141000000000U7,21074463111000141000000000S7,TEXTILES MATEX,TEXTILES MATEX,True,False
3325022,21132811112000421110000000U6,21132811112000421000000000U6,SUPER RECAUDERIA TERESITA,SUPER RECAUDERIA TERESITA,True,False
3326027,21074722515000031001000000U9,21074722515000031000000000U9,CAFETERIA COBAEP,CAFETERIA COBAEP,True,False
3326045,21074434211000171010000000U8,21074434211000171000000000U8,TLAPALERIA ROSITA,TLAPALERIA ROSITA,True,False
3326051,21074611171000023002000000U2,21074611171000023001000000U2,ESCUELA INSTITUTO CUAHUTEMOC,ESCUELA INSTITUTO CUAHUTEMOC,True,False
3326066,21074812210000262001000000U9,21074812210000262000000000U9,LAVANDERIA LAVAPLUS,LAVANDERIA LAVAPLUS,True,False
3326086,21074332710000051002000000U6,21074332710000051001000000U6,TALLER DE TORNO IXEHUATL,TALLER DE TORNO IXEHUATL,True,False
3326102,21074311513000101001000000U2,21074311513000101000000000U2,ELABORACION DE QUESO REDONDO,ELABORACION DE QUESO REDONDO,True,False
3326103,21074323119000071100000000U9,21074323119000071000000000U9,JUMAGRAFIK,JUMAGRAFIK,True,False
3326107,21074462112000161010000000U4,21074462112000161000000000U4,SUPER YA ALEGRIA,SUPER YA ALEGRIA,True,False
3326109,21074622112000063012000000U9,21074622112000063011000000U9,CENTRO DE SALUD SANTA ANA XALMIMILULCO,CENTRO DE SALUD SANTA ANA XALMIMILULCO,True,False
3326123,21074314991000161011000000U1,21074314991000161010000000U1,CORTE DE PANTALON SIN NOMBRE,CORTE DE PANTALON SIN NOMBRE,True,False
3326137,21074315229001301002000000U6,21074315229001301001000000U6,MAQUILA DE PANTALON FOSIL JEANS,MAQUILA DE PANTALON FOSIL JEANS,True,False
3326147,21074461110006061010000000U5,21074461110006061000000000U5,PANADERIA SON MEMO,PANADERIA SON MEMO,True,False
3326165,21074462112000171010000000U3,21074462112000171000000000U3,MINISUPER PROVIDENCIA,MINISUPER PROVIDENCIA,True,False
3326173,21074722515000221002000000U6,21074722515000221001000000U6,CAFE LATTE,CAFE LATTE,True,False
3326189,21074561432000821010000000U5,21074561432000821000000000U5,FERRETERIA,FERRETERIA,True,False
3326202,21074311513000091002000000U5,21074311513000091001000000U5,LACTOPRODUCTOS MARGARITA,LACTOPRODUCTOS MARGARITA,True,False
3326203,21074461110004631010000000U7,21074461110004631000000000U7,ESTETICA BEAUTY SALON GIRIMAY,ESTETICA BEAUTY SALON GIRIMAY,True,False
3326215,21074812130000191010000000U0,21074812130000191000000000U0,BA�OS MILBURGO,BA�OS MILBURGO,True,False
3326223,21074561432000741010000000U5,21074561432000741000000000U5,CIBER FANYS,CIBER FANYS,True,False
3326226,21074467115000211010000000U5,21074467115000211000000000U5,REGALOS JULY,REGALOS JULY,True,False
3326259,21074624191000121002000000U7,21074624191000121001000000U7,ALCOHOLICOS ANONIMOS,ALCOHOLICOS ANONIMOS,True,False
3326301,21074461122000371100000000U9,21074461122000371000000000U9,POLLERIA YAMILETH,POLLERIA YAMILETH,True,False
